easting;northing;lat;long;elev;time;name
596057.174558243;6740008.06728212;60.7838969864;-139.2358120345;2186.298584;2016-05-04T22:16:37Z;23
596073.888819057;6740032.81068901;60.7841149997;-139.2354930192;2190.644287;2016-05-04T22:20:06Z;24
596090.302204499;6740058.54550136;60.7843419816;-139.2351790331;2188.239258;2016-05-04T22:22:41Z;25
596105.168767511;6740085.24754381;60.784578016;-139.2348929588;2192.194824;2016-05-04T22:25:06Z;26
596120.451439874;6740110.391684;60.7847999688;-139.2346000113;2190.523682;2016-05-04T22:27:48Z;27
596137.805191311;6740135.60096251;60.7850220054;-139.2342690099;2191.355225;2016-05-04T22:30:36Z;28
596152.30284089;6740161.73288489;60.7852530107;-139.2339899763;2191.534668;2016-05-04T22:32:54Z;29
596166.774855682;6740188.63942819;60.7854909729;-139.2337110266;2191.231201;2016-05-04T22:35:02Z;30
596183.727324061;6740212.61457958;60.7857020292;-139.2333879881;2189.941406;2016-05-04T22:37:10Z;31
596201.40732318;6740237.71156285;60.7859229762;-139.2330510356;2189.623047;2016-05-04T22:39:30Z;32
596217.509656373;6740262.8875806;60.7861450128;-139.2327430006;2188.825928;2016-05-04T22:42:35Z;33
596233.158903179;6740288.60255344;60.7863719948;-139.2324430123;2189.90625;2016-05-04T22:45:35Z;34
596248.71626387;6740313.6519676;60.7865930256;-139.2321450356;2188.821289;2016-05-04T22:48:41Z;35
596265.694712553;6740336.61950055;60.7867950294;-139.2318219971;2187.932617;2016-05-04T22:52:21Z;36
596345.129700562;6740241.24792423;60.7859199587;-139.2304109875;2178.364014;2016-05-04T23:05:36Z;37
596368.83349021;6740190.41277156;60.785458032;-139.2300010286;2169.688232;2016-05-04T23:07:48Z;38
596393.725806013;6740134.13640186;60.7849469874;-139.229571959;2165.117676;2016-05-04T23:10:06Z;39
596419.98589505;6740077.45809697;60.7844320033;-139.2291179951;2160.788574;2016-05-04T23:12:09Z;40
596446.069412158;6740027.35077093;60.7839760277;-139.2286640313;2154.407227;2016-05-04T23:14:03Z;41
596472.053558752;6739973.00043034;60.7834819984;-139.2282140069;2147.335693;2016-05-04T23:16:08Z;42
596496.164628967;6739919.38425985;60.7829950098;-139.227798013;2142.125732;2016-05-04T23:18:22Z;43
596523.935491957;6739863.52266738;60.7824869826;-139.2273159698;2138.031982;2016-05-04T23:21:37Z;44
596550.832101411;6739811.65397859;60.7820149977;-139.2268480081;2133.395752;2016-05-04T23:23:59Z;45
