0	602626.232055	6765367.43397
0	602666.129542	6765367.43397
0	602666.129542	6765327.4458
0	602626.232055	6765327.4458
0	602626.232055	6765367.43397
1	602666.129542	6765367.43397
1	602706.027029	6765367.43397
1	602706.027029	6765327.4458
1	602666.129542	6765327.4458
1	602666.129542	6765367.43397
2	602626.232055	6765327.4458
2	602666.129542	6765327.4458
2	602666.129542	6765287.45764
2	602626.232055	6765287.45764
2	602626.232055	6765327.4458
3	602666.129542	6765327.4458
3	602706.027029	6765327.4458
3	602706.027029	6765287.45764
3	602666.129542	6765287.45764
3	602666.129542	6765327.4458
4	602706.027029	6765327.4458
4	602745.924516	6765327.4458
4	602745.924516	6765287.45764
4	602706.027029	6765287.45764
4	602706.027029	6765327.4458
5	602745.924516	6765327.4458
5	602785.822003	6765327.4458
5	602785.822003	6765287.45764
5	602745.924516	6765287.45764
5	602745.924516	6765327.4458
6	602626.232055	6765287.45764
6	602666.129542	6765287.45764
6	602666.129542	6765247.46948
6	602626.232055	6765247.46948
6	602626.232055	6765287.45764
7	602666.129542	6765287.45764
7	602706.027029	6765287.45764
7	602706.027029	6765247.46948
7	602666.129542	6765247.46948
7	602666.129542	6765287.45764
8	602706.027029	6765287.45764
8	602745.924516	6765287.45764
8	602745.924516	6765247.46948
8	602706.027029	6765247.46948
8	602706.027029	6765287.45764
9	602745.924516	6765287.45764
9	602785.822003	6765287.45764
9	602785.822003	6765247.46948
9	602745.924516	6765247.46948
9	602745.924516	6765287.45764
10	602785.822003	6765287.45764
10	602825.719489	6765287.45764
10	602825.719489	6765247.46948
10	602785.822003	6765247.46948
10	602785.822003	6765287.45764
11	602825.719489	6765287.45764
11	602865.616976	6765287.45764
11	602865.616976	6765247.46948
11	602825.719489	6765247.46948
11	602825.719489	6765287.45764
12	602865.616976	6765287.45764
12	602905.514463	6765287.45764
12	602905.514463	6765247.46948
12	602865.616976	6765247.46948
12	602865.616976	6765287.45764
13	602666.129542	6765247.46948
13	602706.027029	6765247.46948
13	602706.027029	6765207.48131
13	602666.129542	6765207.48131
13	602666.129542	6765247.46948
14	602706.027029	6765247.46948
14	602745.924516	6765247.46948
14	602745.924516	6765207.48131
14	602706.027029	6765207.48131
14	602706.027029	6765247.46948
15	602745.924516	6765247.46948
15	602785.822003	6765247.46948
15	602785.822003	6765207.48131
15	602745.924516	6765207.48131
15	602745.924516	6765247.46948
16	602785.822003	6765247.46948
16	602825.719489	6765247.46948
16	602825.719489	6765207.48131
16	602785.822003	6765207.48131
16	602785.822003	6765247.46948
17	602825.719489	6765247.46948
17	602865.616976	6765247.46948
17	602865.616976	6765207.48131
17	602825.719489	6765207.48131
17	602825.719489	6765247.46948
18	602865.616976	6765247.46948
18	602905.514463	6765247.46948
18	602905.514463	6765207.48131
18	602865.616976	6765207.48131
18	602865.616976	6765247.46948
19	602905.514463	6765247.46948
19	602945.41195	6765247.46948
19	602945.41195	6765207.48131
19	602905.514463	6765207.48131
19	602905.514463	6765247.46948
20	602945.41195	6765247.46948
20	602985.309437	6765247.46948
20	602985.309437	6765207.48131
20	602945.41195	6765207.48131
20	602945.41195	6765247.46948
21	602985.309437	6765247.46948
21	603025.206923	6765247.46948
21	603025.206923	6765207.48131
21	602985.309437	6765207.48131
21	602985.309437	6765247.46948
22	602666.129542	6765207.48131
22	602706.027029	6765207.48131
22	602706.027029	6765167.49315
